"Date","BoardValue","NationalValue",
"31 Mar 2021","339.000","249.000",
"31 Dec 2020","N/A","N/A",
"30 Sep 2020","N/A","N/A",
"30 Jun 2020","N/A","N/A",
"31 Mar 2020","N/A","N/A",
"31 Dec 2019","160.000","147.000",
"30 Sep 2019","161.000","146.000",
"30 Jun 2019","162.000","146.000",
"31 Mar 2019","162.000","161.000",
"31 Dec 2018","155.000","N/A",
"30 Sep 2018","150.000","N/A",
"30 Jun 2018","159.000","N/A",
"31 Mar 2018","162.000","N/A",
"31 Dec 2017","153.000","N/A",
"30 Sep 2017","139.000","N/A",
"30 Jun 2017","115.000","N/A",
"31 Mar 2017","112.000","138.000",
"31 Dec 2016","93.000","126.000",
"30 Sep 2016","84.000","113.000",
"30 Jun 2016","77.000","93.000",
"31 Mar 2016","80.000","101.000",
"31 Dec 2015","79.000","107.000",
"30 Sep 2015","78.000","100.000",
"30 Jun 2015","74.000","90.000",
"31 Mar 2015","75.000","95.000",
"31 Dec 2014","75.000","85.000",
"30 Sep 2014","73.000","84.000",
"30 Jun 2014","70.000","83.000",
"31 Mar 2014","70.000","83.000",
