"Date","BoardValue","NationalValue",
"31 Mar 2021","205.900","249.000",
"31 Dec 2020","197.600","N/A",
"30 Sep 2020","N/A","N/A",
"30 Jun 2020","118.000","N/A",
"31 Mar 2020","83.000","N/A",
"31 Dec 2019","91.000","147.000",
"30 Sep 2019","118.000","146.000",
"30 Jun 2019","90.000","146.000",
"31 Mar 2019","108.000","161.000",
"31 Dec 2018","99.000","N/A",
"30 Sep 2018","100.000","N/A",
"30 Jun 2018","87.000","N/A",
"31 Mar 2018","128.000","N/A",
"31 Dec 2017","145.000","N/A",
"30 Sep 2017","125.000","N/A",
"30 Jun 2017","100.000","N/A",
"31 Mar 2017","111.000","138.000",
"31 Dec 2016","89.000","126.000",
"30 Sep 2016","88.000","113.000",
"30 Jun 2016","78.000","93.000",
"31 Mar 2016","106.000","101.000",
"31 Dec 2015","87.000","107.000",
"30 Sep 2015","87.000","100.000",
"30 Jun 2015","85.000","90.000",
"31 Mar 2015","100.000","95.000",
"31 Dec 2014","96.000","85.000",
"30 Sep 2014","80.000","84.000",
"30 Jun 2014","79.000","83.000",
"31 Mar 2014","85.000","83.000",
