"Date","BoardValue","NationalValue",
"31 Mar 2021","202.000","249.000",
"31 Dec 2020","245.000","N/A",
"30 Sep 2020","215.000","N/A",
"30 Jun 2020","N/A","N/A",
"31 Mar 2020","N/A","N/A",
"31 Dec 2019","186.000","147.000",
"30 Sep 2019","195.000","146.000",
"30 Jun 2019","201.000","146.000",
"31 Mar 2019","218.000","161.000",
"31 Dec 2018","209.000","N/A",
"30 Sep 2018","201.000","N/A",
"30 Jun 2018","206.000","N/A",
"31 Mar 2018","217.000","N/A",
"31 Dec 2017","225.000","N/A",
"30 Sep 2017","181.000","N/A",
"30 Jun 2017","160.000","N/A",
"31 Mar 2017","174.000","138.000",
"31 Dec 2016","166.000","126.000",
"30 Sep 2016","142.000","113.000",
"30 Jun 2016","127.000","93.000",
"31 Mar 2016","134.000","101.000",
"31 Dec 2015","164.000","107.000",
"30 Sep 2015","160.000","100.000",
"30 Jun 2015","131.000","90.000",
"31 Mar 2015","120.000","95.000",
"31 Dec 2014","105.000","85.000",
"30 Sep 2014","83.000","84.000",
"30 Jun 2014","83.000","83.000",
"31 Mar 2014","83.000","83.000",
